senaryo,esik_degeri,N,karsilasma_ort,teklif_ort,takas_ort,devralinan_hucre_ort,churn_orani,atama_kararliligi,gorev_suresi_ort,kapsama_dengesizligi_ort,kapsama_tamam_orani,tekrar
arizali,0.1500,5,6.8333,1.3333,0.1667,38.1667,0.0333,0.5333,298.5000,0.0000,1.0000,6
arizali,0.2000,3,2.1667,0.1667,0.0000,68.6667,0.0000,0.6667,467.7833,0.0000,1.0000,6
arizali,0.2000,5,6.8333,1.3333,0.1667,38.1667,0.0333,0.5333,298.5000,0.0000,1.0000,6
arizali,0.2500,3,2.1667,0.1667,0.0000,68.6667,0.0000,0.6667,467.7833,0.0000,1.0000,6
arizali,0.2500,5,6.8333,0.6667,0.1667,38.1667,0.0333,0.5333,298.5000,0.0000,1.0000,6
arizali,0.3000,3,2.1667,0.0000,0.0000,68.6667,0.0000,0.6667,467.7833,0.0000,1.0000,6
arizali,0.3000,5,6.8333,0.3333,0.1667,38.1667,0.0333,0.5333,298.5000,0.0000,1.0000,6
arizali,0.3500,3,2.1667,0.0000,0.0000,68.6667,0.0000,0.6667,467.7833,0.0000,1.0000,6
arizali,0.3500,5,6.8333,0.3333,0.1667,38.1667,0.0333,0.5333,298.5000,0.0000,1.0000,6
arizali,0.4000,3,2.1667,0.0000,0.0000,68.6667,0.0000,0.6667,467.7833,0.0000,1.0000,6
arizali,0.4000,5,6.8333,0.0000,0.0000,38.1667,0.0000,0.4667,299.1333,0.0000,1.0000,6
arizali,0.4500,3,2.1667,0.0000,0.0000,68.6667,0.0000,0.6667,467.7833,0.0000,1.0000,6
arizali,0.4500,5,6.8333,0.0000,0.0000,38.1667,0.0000,0.4667,299.1333,0.0000,1.0000,6
arizali,0.5000,3,2.1667,0.0000,0.0000,68.6667,0.0000,0.6667,467.7833,0.0000,1.0000,6
arizali,0.5000,5,6.8333,0.0000,0.0000,38.1667,0.0000,0.4667,299.1333,0.0000,1.0000,6
arizali,0.5500,3,2.1667,0.0000,0.0000,68.6667,0.0000,0.6667,467.7833,0.0000,1.0000,6
arizali,0.5500,5,6.8333,0.0000,0.0000,38.1667,0.0000,0.4667,299.1333,0.0000,1.0000,6
arizali,0.6000,3,2.1667,0.0000,0.0000,68.6667,0.0000,0.6667,467.7833,0.0000,1.0000,6
arizali,0.6000,5,6.8333,0.0000,0.0000,38.1667,0.0000,0.4667,299.1333,0.0000,1.0000,6
arizali,0.6500,3,2.1667,0.0000,0.0000,68.6667,0.0000,0.6667,467.7833,0.0000,1.0000,6
arizali,0.6500,5,6.8333,0.0000,0.0000,38.1667,0.0000,0.4667,299.1333,0.0000,1.0000,6
arizali,0.7000,3,2.1667,0.0000,0.0000,68.6667,0.0000,0.6667,467.7833,0.0000,1.0000,6
arizali,0.7000,5,6.8333,0.0000,0.0000,38.1667,0.0000,0.4667,299.1333,0.0000,1.0000,6
arizali,0.7500,3,2.1667,0.0000,0.0000,68.6667,0.0000,0.6667,467.7833,0.0000,1.0000,6
arizali,0.7500,5,6.8333,0.0000,0.0000,38.1667,0.0000,0.4667,299.1333,0.0000,1.0000,6
arizali,0.8000,3,2.1667,0.0000,0.0000,68.6667,0.0000,0.6667,467.7833,0.0000,1.0000,6
arizali,0.8000,5,6.8333,0.0000,0.0000,38.1667,0.0000,0.4667,299.1333,0.0000,1.0000,6
arizali,0.8500,3,2.1667,0.0000,0.0000,68.6667,0.0000,0.6667,467.7833,0.0000,1.0000,6
arizali,0.8500,5,6.8333,0.0000,0.0000,38.1667,0.0000,0.4667,299.1333,0.0000,1.0000,6
arizali,0.9000,3,2.1667,0.0000,0.0000,68.6667,0.0000,0.6667,467.7833,0.0000,1.0000,6
arizali,0.9000,5,6.8333,0.0000,0.0000,38.1667,0.0000,0.4667,299.1333,0.0000,1.0000,6
