kol,N,alan_kenari,r_comm,hucre_basina_ajan,karsilasma,gorev_suresi,atama_kararliligi,churn_orani,iletisim_yuku,takas,kapsama_tamam_orani,tekrar
sabit_alan,3,400.0000,60.0000,133.3333,2.4000,468.7300,0.7333,0.0000,142.8000,0.0000,1.0000,10
sabit_alan,5,400.0000,60.0000,80.0000,7.3000,295.7600,0.5400,0.0311,325.9000,0.2000,1.0000,10
sabit_alan,7,400.0000,60.0000,57.1429,16.8000,246.7800,0.4429,0.0166,652.3000,0.3000,1.0000,10
sabit_alan,10,400.0000,60.0000,40.0000,27.3000,197.6900,0.4100,0.0299,1036.4000,0.8000,1.0000,10
orantili_alan,3,400.0000,60.0000,133.3333,2.4000,468.7300,0.7333,0.0000,142.8000,0.0000,1.0000,10
orantili_alan,5,516.3978,77.4597,125.0000,8.2000,453.1800,0.5000,0.0111,613.8000,0.1000,1.0000,10
orantili_alan,7,611.0101,91.6515,128.5714,17.7000,656.2200,0.3143,0.0108,1579.0000,0.2000,0.9000,10
orantili_alan,10,730.2967,109.5445,129.6000,37.6000,658.0600,0.2600,0.0108,4318.1000,0.4000,0.9000,10
