kol,N,r_comm,karsilasma,gorev_suresi,atama_kararliligi,churn_orani,iletisim_yuku,takas,tekrar
serbest,3,60.0000,2.4000,468.7300,0.7333,0.0000,142.8000,0.0000,10
serbest,5,60.0000,7.3000,295.7600,0.5400,0.0311,325.9000,0.2000,10
esitli,3,60.0000,2.4000,468.7300,0.7333,0.0000,142.8000,0.0000,10
esitli,5,20.0000,2.3000,275.9500,0.4200,0.0000,63.2000,0.0000,10
